Circle Test @ YYE. Version 1.1.1.. Simulation on 2023- 6- 2   17h19
          X coord          Y coord          Radius          Time          Local Time
         0.92908638        -0.36823890        0.00147334        0.00006700        0.08397205
         0.92744009        -0.36710324        0.00200000        0.00006700        0.08397205
         0.92650246        -0.36473372        0.00254829        0.00006700        0.08397205
         0.92444005        -0.36097148        0.00429045        0.00006700        0.08397205
         0.93193480        -0.35981242        0.00758385        0.00006700        0.08397205
         0.93093345        -0.35998890        0.00101679        0.00006700        0.08397205
         0.93051634        -0.36182946        0.00188723        0.00006700        0.08397205
         0.92937975        -0.36068819        0.00161069        0.00006700        0.08397205
         0.92992846        -0.36372239        0.00308341        0.00006700        0.08397205
         0.93013654        -0.36517821        0.00147062        0.00006700        0.08397205
         0.93064544        -0.36324404        0.00200000        0.00006700        0.08397205
         0.92869944        -0.36370562        0.00200000        0.00006700        0.08397205
         0.92837658        -0.36630689        0.00262123        0.00006700        0.08397205
         0.93001490        -0.36521283        0.00197004        0.00006700        0.08397205
         0.92962578        -0.36620621        0.00200000        0.00006800        0.08522536
         0.93060490        -0.36446227        0.00200000        0.00006900        0.08647868
         0.93062695        -0.36317167        0.00200000        0.00007000        0.08773199
         0.92965576        -0.36348484        0.00102044        0.00007000        0.08773199
         0.92941015        -0.36527922        0.00181111        0.00007000        0.08773199
         0.92807110        -0.36492591        0.00138489        0.00007000        0.08773199
         0.92743758        -0.36761260        0.00276037        0.00007000        0.08773199
         0.92972573        -0.36820281        0.00236305        0.00007000        0.08773199
         0.93040065        -0.36632013        0.00200000        0.00007100        0.08898530
         0.92977111        -0.36442180        0.00200000        0.00007200        0.09023862
         0.93107814        -0.36480535        0.00136214        0.00007200        0.09023862
         0.92924701        -0.36402761        0.00200000        0.00007300        0.09149193
         0.92769981        -0.36528535        0.00199393        0.00007300        0.09149193
         0.92486168        -0.36439585        0.00297426        0.00007300        0.09149193
         0.92793518        -0.35931174        0.00594092        0.00007300        0.09149193
         0.92310153        -0.36027059        0.00492783        0.00007300        0.09149193
         0.91440162        -0.35765145        0.00908561        0.00007300        0.09149193
         0.92895650        -0.34682130        0.01814212        0.00007300        0.09149193
         0.93633322        -0.35086593        0.00841279        0.00007300        0.09149193
         0.93628617        -0.34886649        0.00200000        0.00007400        0.09274525
         0.93436280        -0.34831817        0.00200000        0.00007500        0.09399856
         0.93501913        -0.34557120        0.00282429        0.00007500        0.09399856
         0.93380850        -0.34849540        0.00316489        0.00007500        0.09399856
         0.93401551        -0.35177057        0.00328171        0.00007500        0.09399856
         0.93417325        -0.34983887        0.00193812        0.00007500        0.09399856
         0.93233646        -0.35148966        0.00246960        0.00007500        0.09399856
         0.92883700        -0.35236956        0.00360838        0.00007500        0.09399856
         0.93406063        -0.34838420        0.00657034        0.00007500        0.09399856
         0.93104415        -0.34902763        0.00308435        0.00007500        0.09399856
         0.92536179        -0.34918047        0.00568441        0.00007500        0.09399856
         0.92159651        -0.33889903        0.01094922        0.00007500        0.09399856
