PSD @ YYE. Version 2.0.2.. Simulation on 2023- 5-31   13h55
          X coord          Y coord          Generation          Radius          Time          Local Time

 #            1
         0.38311103         0.57734711       4        0.00422452        0.24378677        0.15039770
         0.38461521         0.57602899       4        0.00200000        0.24378677        0.15039770
         0.38505345         0.57478251       4        0.00132128        0.24378720        0.15039770
         0.38761623         0.57494231       4        0.00256776        0.24378885        0.15039770
         0.38899385         0.57691727       4        0.00240796        0.24379030        0.15039770
         0.39098525         0.57673203       4        0.00200000        0.24379030        0.15039770
         0.38905057         0.57622505       4        0.00200000        0.24379030        0.15039770
         0.38976303         0.57535412       4        0.00112522        0.24379062        0.15039770
         0.39173232         0.57568050       4        0.00199615        0.24379161        0.15039770
         0.39083707         0.57427101       4        0.00166977        0.24379231        0.15039770
         0.39348998         0.57583432       4        0.00307926        0.24379468        0.15039770
         0.39345790         0.57734993       4        0.00151595        0.24379526        0.15039770
         0.39473609         0.57581236       4        0.00200000        0.24379626        0.15165101
         0.39517397         0.57433810       4        0.00153791        0.24379685        0.15165101
         0.39793450         0.57554337       4        0.00301217        0.24379912        0.15165101
         0.39814157         0.57733836       4        0.00180690        0.24379993        0.15165101
         0.39977327         0.57620565       4        0.00200000        0.24380093        0.15290432
         0.40089085         0.57645299       4        0.00114462        0.24380126        0.15290432
         0.40247393         0.57523076       4        0.00200000        0.24380126        0.15290432
         0.40459340         0.57521889       4        0.00211951        0.24380238        0.15290432
         0.40668543         0.57562661       4        0.00213138        0.24380352        0.15290432
         0.40768876         0.57702815       4        0.00172366        0.24380426        0.15290432
         0.40569230         0.57690913       4        0.00200000        0.24380426        0.15290432
         0.40764324         0.57646885       4        0.00200000        0.24380426        0.15290432
         0.40654857         0.57655786       4        0.00200000        0.24380526        0.15415764
         0.40784055         0.57503117       4        0.00200000        0.24380626        0.15541095
         0.40681776         0.57294979       4        0.00231910        0.24380761        0.15541095
         0.41047084         0.57540320       4        0.00440048        0.24381245        0.15541095
         0.41040261         0.57345733       4        0.00194707        0.24381340        0.15541095
         0.41331790         0.57603727       4        0.00389294        0.24381718        0.15541095
         0.41438804         0.57679804       4        0.00131300        0.24381761        0.15541095
         0.41303747         0.57532293       4        0.00200000        0.24381761        0.15541095
         0.41269411         0.57732098       4        0.00202734        0.24381864        0.15541095
         0.41468676         0.57714967       4        0.00200000        0.24381864        0.15541095
         0.41592294         0.57597866       4        0.00200000        0.24381964        0.15666427
         0.41569345         0.57462638       4        0.00137161        0.24382011        0.15666427
         0.41426626         0.57694644       4        0.00272389        0.24382197        0.15666427
         0.41226858         0.57685010       4        0.00200000        0.24382197        0.15666427
         0.41029171         0.57654679       4        0.00200000        0.24382197        0.15666427
         0.41046188         0.57455404       4        0.00200000        0.24382197        0.15666427
         0.41183851         0.57212017       4        0.00279622        0.24382392        0.15666427
         0.41085697         0.57725734       4        0.00523010        0.24383076        0.15666427
         0.41166964         0.57542989       4        0.00200000        0.24383076        0.15666427
         0.41272493         0.57382545       4        0.00192038        0.24383168        0.15666427
         0.41545161         0.57159172       4        0.00352481        0.24383479        0.15666427
         0.42033653         0.56854239       4        0.00575854        0.24384308        0.15666427
         0.41775443         0.56012150       4        0.00880788        0.24386247        0.15666427
         0.41341161         0.57679395       4        0.01722877        0.24393668        0.15666427
         0.41250104         0.57501326       4        0.00200000        0.24393668        0.15666427
         0.41148291         0.57711684       4        0.00233701        0.24393805        0.15666427
         0.41297567         0.57625265       4        0.00200000        0.24393905        0.15791758
         0.41356122         0.57532428       4        0.00109762        0.24393935        0.15791758
         0.41415057         0.57338590       4        0.00202599        0.24394037        0.15791758
         0.41424797         0.57734907       4        0.00396437        0.24394430        0.15791758
         0.41576039         0.57604281       4        0.00200000        0.24394530        0.15917090
