PSD @ YYE. Simulation done on 2023- 4-19   22h14
   160.49382716049408        470.43355267302849     
   166.66666666666691        481.12522432468825     
   154.32098765432124        481.12522432468825     
   148.14814814814841        491.81689597634801     
   141.97530864197554        481.12522432468825     
   129.62962962962987        481.12522432468825     
   123.45679012345704        491.81689597634801     
   129.62962962962990        502.50856762800777     
   117.28395061728419        502.50856762800771     
   111.11111111111136        513.20023927966747     
   104.93827160493851        502.50856762800771     
   92.592592592592823        502.50856762800771     
   98.765432098765658        491.81689597634801     
   92.592592592592808        481.12522432468825     
   80.246913580247124        481.12522432468825     
   74.074074074074289        491.81689597634801     
   67.901234567901440        481.12522432468825     
   55.555555555555763        481.12522432468825     
   49.382716049382928        491.81689597634801     
   55.555555555555777        502.50856762800777     
   43.209876543210086        502.50856762800771     
   37.037037037037251        513.20023927966747     
   43.209876543210100        523.89191093132717     
   55.555555555555792        523.89191093132717     
   49.382716049382950        534.58358258298699     
   55.555555555555799        545.27525423464670     
   43.209876543210115        545.27525423464670     
   37.037037037037273        555.96692588630640     
   30.864197530864423        545.27525423464670     
   18.518518518518739        545.27525423464670     
   12.345679012345901        555.96692588630640     
   18.518518518518750        566.65859753796610     
   6.1728395061730650        566.65859753796622     
   2.2737367544323206E-013   577.35026918962592     
  -6.1728395061726147        566.65859753796622     
  -18.518518518518299        566.65859753796622     
  -12.345679012345457        555.96692588630640     
  -18.518518518518299        545.27525423464670     
  -30.864197530863983        545.27525423464670     
  -37.037037037036825        555.96692588630640     
  -43.209876543209667        545.27525423464670     
  -55.555555555555351        545.27525423464670     
  -49.382716049382509        534.58358258298699     
  -55.555555555555351        523.89191093132729     
  -43.209876543209667        523.89191093132717     
  -37.037037037036825        513.20023927966747     
  -43.209876543209667        502.50856762800771     
  -55.555555555555351        502.50856762800771     
  -49.382716049382509        491.81689597634801     
  -55.555555555555351        481.12522432468825     
  -67.901234567901028        481.12522432468825     
  -74.074074074073863        491.81689597634801     
  -80.246913580246712        481.12522432468825     
  -92.592592592592396        481.12522432468825     
  -98.765432098765231        491.81689597634801     
  -92.592592592592382        502.50856762800777     
  -104.93827160493807        502.50856762800771     
  -111.11111111111090        513.20023927966747     
  -117.28395061728375        502.50856762800777     
  -129.62962962962942        502.50856762800777     
  -123.45679012345660        491.81689597634801     
  -129.62962962962945        481.12522432468830     
  -141.97530864197512        481.12522432468830     
  -148.14814814814795        491.81689597634806     
  -154.32098765432082        481.12522432468830     
  -166.66666666666649        481.12522432468830     
  -160.49382716049365        470.43355267302854     
  -166.66666666666649        459.74188102136878     
  -154.32098765432082        459.74188102136884     
  -148.14814814814798        449.05020936970908     
  -154.32098765432082        438.35853771804932     
  -166.66666666666652        438.35853771804932     
  -160.49382716049368        427.66686606638962     
  -166.66666666666652        416.97519441472986     
  -154.32098765432082        416.97519441472986     
  -148.14814814814798        406.28352276307010     
  -141.97530864197515        416.97519441472986     
  -129.62962962962945        416.97519441472986     
  -123.45679012345661        406.28352276307010     
  -129.62962962962945        395.59185111141034     
  -117.28395061728378        395.59185111141039     
  -111.11111111111094        384.90017945975063     
  -117.28395061728379        374.20850780809087     
  -129.62962962962948        374.20850780809087     
  -123.45679012345663        363.51683615643117     
  -129.62962962962948        352.82516450477141     
  -141.97530864197515        352.82516450477141     
  -148.14814814814798        363.51683615643117     
  -154.32098765432085        352.82516450477141     
  -166.66666666666652        352.82516450477141     
  -160.49382716049368        342.13349285311165     
  -166.66666666666652        331.44182120145189     
  -154.32098765432082        331.44182120145194     
  -148.14814814814798        320.75014954979218     
  -154.32098765432082        310.05847789813242     
  -166.66666666666652        310.05847789813242     
  -160.49382716049368        299.36680624647272     
  -166.66666666666652        288.67513459481296     
  -179.01234567901218        288.67513459481296     
  -185.18518518518502        299.36680624647272     
  -191.35802469135788        288.67513459481296     
  -203.70370370370355        288.67513459481296     
  -209.87654320987639        299.36680624647272     
  -203.70370370370352        310.05847789813248     
  -216.04938271604922        310.05847789813242     
  -222.22222222222206        320.75014954979218     
  -228.39506172839492        310.05847789813248     
  -240.74074074074059        310.05847789813248     
  -234.56790123456776        299.36680624647272     
  -240.74074074074062        288.67513459481302     
  -253.08641975308629        288.67513459481302     
  -259.25925925925912        299.36680624647278     
  -265.43209876543199        288.67513459481302     
  -277.77777777777766        288.67513459481302     
  -283.95061728395046        299.36680624647278     
  -277.77777777777760        310.05847789813248     
  -290.12345679012333        310.05847789813248     
  -296.29629629629613        320.75014954979224     
  -290.12345679012327        331.44182120145200     
  -277.77777777777760        331.44182120145200     
  -283.95061728395046        342.13349285311170     
  -277.77777777777760        352.82516450477146     
  -290.12345679012327        352.82516450477146     
  -296.29629629629613        363.51683615643122     
  -302.46913580246900        352.82516450477146     
  -314.81481481481467        352.82516450477146     
  -320.98765432098747        363.51683615643122     
  -314.81481481481461        374.20850780809093     
  -327.16049382716034        374.20850780809093     
  -333.33333333333314        384.90017945975069     
  -339.50617283950601        374.20850780809093     
  -351.85185185185168        374.20850780809093     
  -345.67901234567881        363.51683615643122     
  -351.85185185185168        352.82516450477146     
  -364.19753086419735        352.82516450477146     
  -370.37037037037015        363.51683615643122     
  -376.54320987654307        352.82516450477152     
  -388.88888888888874        352.82516450477152     
  -382.71604938271594        342.13349285311176     
  -388.88888888888880        331.44182120145206     
  -376.54320987654307        331.44182120145206     
  -370.37037037037027        320.75014954979230     
  -376.54320987654313        310.05847789813254     
  -388.88888888888880        310.05847789813254     
  -382.71604938271594        299.36680624647283     
  -388.88888888888880        288.67513459481307     
  -401.23456790123447        288.67513459481307     
  -407.40740740740733        299.36680624647283     
  -413.58024691358020        288.67513459481307     
  -425.92592592592587        288.67513459481307     
  -432.09876543209867        299.36680624647283     
  -425.92592592592581        310.05847789813254     
  -438.27160493827154        310.05847789813254     
  -444.44444444444434        320.75014954979230     
  -450.61728395061721        310.05847789813259     
  -462.96296296296288        310.05847789813259     
  -456.79012345679001        299.36680624647283     
  -462.96296296296288        288.67513459481313     
  -475.30864197530855        288.67513459481313     
  -481.48148148148141        299.36680624647289     
  -487.65432098765427        288.67513459481313     
  -499.99999999999994        288.67513459481313     
  -493.82716049382708        277.98346294315337     
  -499.99999999999994        267.29179129149361     
  -487.65432098765427        267.29179129149367     
  -481.48148148148141        256.60011963983391     
  -487.65432098765427        245.90844798817417     
  -499.99999999999994        245.90844798817417     
  -493.82716049382708        235.21677633651441     
